Event Time (UTC),Analytics Event Type,Latitude,Longitude,GPS Time (UTC),Device OS,Device OS Version,Device Model,Device Language,City Name,Country / Region,App Version
2019-12-23 20:23:33.322,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:32.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:33.332,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:32.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:33.332,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:32.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:33.330,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:32.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:33.335,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:32.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:33.336,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:23:32.990,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:23:48.495,impression,29.633333333333333,-95.4,2019-12-23 20:23:47.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:23:48.323,custom,29.633333333333333,-95.4,2019-12-23 20:23:47.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:23:48.369,impression,29.633333333333333,-95.4,2019-12-23 20:23:47.990,ios,12.4.2,"iPhone7,1",en_US,houston,US,1.218.10009
2019-12-23 20:24:01.689,impression,29.627509703887277,-95.40607801647428,2019-12-23 20:24:00.989,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
2019-12-23 20:24:01.690,tap,29.627509703887277,-95.40607801647428,2019-12-23 20:24:00.989,ios,12.4.2,iPhone 6 Plus,en_US,houston,US,1.218.10009
